State,Year,Month,Avg_rainfall
Arunachal Pradesh,2019,7,22.45160335296
Arunachal Pradesh,2019,8,5.580164726059355
Arunachal Pradesh,2019,9,12.054697381081334
Arunachal Pradesh,2019,10,3.899412356468387
Arunachal Pradesh,2019,11,0.6017002188333334
Arunachal Pradesh,2019,12,0.4237964894503226
Arunachal Pradesh,2020,1,1.9755226833109678
Arunachal Pradesh,2020,2,1.1717174575862068
Arunachal Pradesh,2020,3,1.5391761230309677
Arunachal Pradesh,2020,4,5.544310795193333
Arunachal Pradesh,2020,5,6.277631156894193
Arunachal Pradesh,2020,6,18.090861586258665
Arunachal Pradesh,2020,7,17.335938534147097
Arunachal Pradesh,2020,8,1.9242478866619355
Arunachal Pradesh,2020,9,1.2154985498546667
Arunachal Pradesh,2020,10,1.232750882843871
Arunachal Pradesh,2020,11,2.149399438332
Arunachal Pradesh,2020,12,1.1801089088606451
Arunachal Pradesh,2021,1,0.6777348940929033
Arunachal Pradesh,2021,2,0.33614510607142856
Arunachal Pradesh,2021,3,2.704461583025806
Arunachal Pradesh,2021,4,3.4802387859933335
Arunachal Pradesh,2021,5,9.577995970265807
Arunachal Pradesh,2021,6,13.054155620398667
Arunachal Pradesh,2021,7,9.149828579247743
Arunachal Pradesh,2021,8,15.715691362329032
Arunachal Pradesh,2021,9,4.496755177290667
Arunachal Pradesh,2021,10,3.531242884843871
Arunachal Pradesh,2021,11,0.4177986143453334
Arunachal Pradesh,2021,12,0.4518134845870968
Arunachal Pradesh,2022,1,1.3156192596124139
Arunachal Pradesh,2022,2,2.8093371490314287
Arunachal Pradesh,2022,3,2.5895161705406453
Arunachal Pradesh,2022,4,15.626936708749867
Arunachal Pradesh,2022,5,11.95897856309187
Arunachal Pradesh,2022,6,10.914571558444
Arunachal Pradesh,2022,7,9.745903539800276
Arunachal Pradesh,2022,8,8.090042619201677
Arunachal Pradesh,2022,9,6.631232872263408
Arunachal Pradesh,2022,10,4.634115275594715
Arunachal Pradesh,2022,11,0.2750142554461538
Arunachal Pradesh,2022,12,0.2757685093974286
Arunachal Pradesh,2023,1,1.1247596370265334
Arunachal Pradesh,2023,2,2.306101737660741
Arunachal Pradesh,2023,3,2.0367547399259998
Arunachal Pradesh,2023,4,3.245773259663733
Arunachal Pradesh,2023,5,3.158017046121419
Arunachal Pradesh,2023,6,12.9795366684384
Arunachal Pradesh,2023,7,13.710401981271653
Arunachal Pradesh,2023,8,7.172435344616001
Arunachal Pradesh,2023,9,2.5177456193481333
Arunachal Pradesh,2023,10,1.6051892624036521
Arunachal Pradesh,2023,11,0.6494117430833333
Arunachal Pradesh,2023,12,0.41703974942800004
Assam,2019,1,0.13379110919648096
Assam,2019,2,1.1847985379707793
Assam,2019,3,1.7930629900938417
Assam,2019,4,5.8851470898747476
Assam,2019,5,12.72756906252395
Assam,2019,6,10.717523578951516
Assam,2019,7,17.76791372136657
Assam,2019,8,6.746180858142718
Assam,2019,9,9.73495923151111
Assam,2019,10,4.623058846549365
Assam,2019,11,0.38349363770202016
Assam,2019,12,0.09934259554447702
Assam,2020,1,0.6827587422512218
Assam,2020,2,0.6659539676896551
Assam,2020,3,1.0400955957517106
Assam,2020,4,4.591232974196969
Assam,2020,5,13.370267414133918
Assam,2020,6,17.15502590689293
Assam,2020,7,13.878546770822092
Assam,2020,8,0.47340624909481915
Assam,2020,9,0.9094007066656565
Assam,2020,10,0.4301951691270772
Assam,2020,11,0.6909688274838384
Assam,2020,12,0.8179437292649071
Assam,2021,1,0.3823685155650049
Assam,2021,2,0.10844668969372294
Assam,2021,3,1.2582131906304985
Assam,2021,4,4.97232156150101
Assam,2021,5,7.624615764064516
Assam,2021,6,13.542559652562627
Assam,2021,7,10.047327841958944
Assam,2021,8,9.984992187210166
Assam,2021,9,5.647632473364647
Assam,2021,10,3.553582273268817
Assam,2021,11,0.14656154815656566
Assam,2021,12,0.3789676471251222
Assam,2022,1,1.7789181701442005
Assam,2022,2,1.9602847803430736
Assam,2022,3,1.2513961568856304
Assam,2022,4,10.712427114731819
Assam,2022,5,12.73584444676999
Assam,2022,6,22.443479619435355
Assam,2022,7,9.566825679621108
Assam,2022,8,8.661257544952981
Assam,2022,9,6.96087068064422
Assam,2022,10,7.7376882846209964
Assam,2022,11,0.02633805813939394
Assam,2022,12,0.11703402669567099
Assam,2023,1,0.02828673036828283
Assam,2023,2,0.7331329820473624
Assam,2023,3,2.969605535421515
Assam,2023,4,4.11641149085101
Assam,2023,5,4.373837014199805
Assam,2023,6,17.994527254734447
Assam,2023,7,12.2373362107361
Assam,2023,8,10.297504526122678
Assam,2023,9,5.705515139292828
Assam,2023,10,2.386952935329249
Assam,2023,11,0.8150242097116162
Assam,2023,12,0.005390095062121213
Bihar,2019,1,0.1285499449651264
Bihar,2019,2,0.9451609131848455
Bihar,2019,3,0.10080879506538797
Bihar,2019,4,1.5084735713108108
Bihar,2019,5,0.818555930540747
Bihar,2019,6,3.298756944538739
Bihar,2019,7,13.987181490432432
Bihar,2019,8,4.306200023385353
Bihar,2019,9,13.365238866346846
Bihar,2019,10,0.9643103411996512
Bihar,2019,11,0.0007066208981981983
Bihar,2019,12,0.43955819925196166
Bihar,2020,1,0.28404189522755013
Bihar,2020,2,0.8943615029794968
Bihar,2020,3,1.9510610330203733
Bihar,2020,4,1.9778281237018016
Bihar,2020,5,3.101843465580645
Bihar,2020,6,10.668500888181981
Bihar,2020,7,12.979922405401917
Bihar,2020,8,0.22562440996512642
Bihar,2020,9,0.8764742160585586
Bihar,2020,10,1.451132430598954
Bihar,2020,11,0.2750712871927928
Bihar,2020,12,0.8476601509302529
Bihar,2021,1,0.012911704898132427
Bihar,2021,2,0.021843017792293234
Bihar,2021,3,0.04990515607470288
Bihar,2021,4,0.5090389356377193
Bihar,2021,5,8.543388456131579
Bihar,2021,6,11.19739681390614
Bihar,2021,7,8.510580673994058
Bihar,2021,8,10.643583159565365
Bihar,2021,9,3.654380372979825
Bihar,2021,10,6.427334706606112
Bihar,2021,11,0.01303231560614035
Bihar,2021,12,0.3504367661273345
Bihar,2022,1,1.1297878808965516
Bihar,2022,2,1.0135618829097746
Bihar,2022,3,0.014703753389388795
Bihar,2022,4,0.45918655890263155
Bihar,2022,5,2.944547734865365
Bihar,2022,6,5.894620242733334
Bihar,2022,7,4.202180305939292
Bihar,2022,8,7.349642088297284
Bihar,2022,9,7.567377210032066
Bihar,2022,10,2.7134759505260337
Bihar,2022,11,0.00018984525303643724
Bihar,2022,12,0.006612374204417294
Bihar,2023,1,0.002400528009385965
Bihar,2023,2,0.01919384833693957
Bihar,2023,3,0.6604579373103509
Bihar,2023,4,0.5502495484736842
Bihar,2023,5,1.102155030390662
Bihar,2023,6,3.354934413220811
Bihar,2023,7,7.202594308186016
Bihar,2023,8,9.631097541101019
Bihar,2023,9,6.478903878047368
Bihar,2023,10,1.1552667721385583
Bihar,2023,11,0.012211079085175438
Bihar,2023,12,0.26556628448947367
Chandigarh,2019,1,0.634037683
Chandigarh,2019,2,2.0647079506785717
Chandigarh,2019,3,0.8362219632903226
Chandigarh,2019,4,1.1733699479333335
Chandigarh,2019,5,2.013518605483871
Chandigarh,2019,6,0.7348779618333333
Chandigarh,2019,7,9.59470631548387
Chandigarh,2019,8,7.8902851583225795
Chandigarh,2019,9,4.936324127633333
Chandigarh,2019,10,0.0035411390967741937
Chandigarh,2019,11,1.0614897858333334
Chandigarh,2019,12,1.0356988983870967
Chandigarh,2020,1,1.695567669516129
Chandigarh,2020,2,0.28596560196551724
Chandigarh,2020,3,8.827819757161292
Chandigarh,2020,4,0.9674934208333333
Chandigarh,2020,5,3.8123119466451616
Chandigarh,2020,6,3.2892810012666667
Chandigarh,2020,7,6.180797884903226
Chandigarh,2020,8,1.695567669516129
Chandigarh,2020,9,0.4246469239666667
Chandigarh,2020,10,2.511104616645161
Chandigarh,2020,11,1.7520865918333333
Chandigarh,2020,12,0.40039948016129034
Chandigarh,2021,1,0.3387096774193548
Chandigarh,2021,2,0.5964285714285714
Chandigarh,2021,3,0.24516129032258063
Chandigarh,2021,4,1.0679154404333333
Chandigarh,2021,5,1.9741935483870967
Chandigarh,2021,6,3.4433333333333334
Chandigarh,2021,7,6.412903225806452
Chandigarh,2021,8,6.319354838709677
Chandigarh,2021,9,6.126666666666666
Chandigarh,2021,10,1.6419354838709679
Chandigarh,2021,11,0.0033333333333333335
Chandigarh,2021,12,0.04516129032258064
Chandigarh,2022,1,13.816000737482758
Chandigarh,2022,2,1.342857142857143
Chandigarh,2022,3,0.0009350636129032258
Chandigarh,2022,4,0.013333333333333332
Chandigarh,2022,5,1.067741935483871
Chandigarh,2022,6,1.3349
Chandigarh,2022,7,14.906896551724138
Chandigarh,2022,8,3.5589398685935487
Chandigarh,2022,9,7.140740740740741
Chandigarh,2022,10,0.5061785714285715
Chandigarh,2022,11,0.00023076923076923076
Chandigarh,2022,12,0.0
Chandigarh,2023,1,0.6684
Chandigarh,2023,2,0.0017407407407407408
Chandigarh,2023,3,1.9550666666666667
Chandigarh,2023,4,0.9084
Chandigarh,2023,5,3.3289999999999997
Chandigarh,2023,6,5.546666666666667
Chandigarh,2023,7,31.243478260869566
Chandigarh,2023,8,4.551903225806452
Chandigarh,2023,9,1.0282333333333333
Chandigarh,2023,10,0.8209130434782609
Chandigarh,2023,11,0.49363333333333337
Chandigarh,2023,12,13.7865
Chhattisgarh,2019,1,0.4400955467263626
Chhattisgarh,2019,2,0.48062355786576355
Chhattisgarh,2019,3,0.48016627161735265
Chhattisgarh,2019,4,0.4623351540643678
Chhattisgarh,2019,5,1.6801924868951612
Chhattisgarh,2019,6,4.3704524775827585
Chhattisgarh,2019,7,11.332490512674083
Chhattisgarh,2019,8,12.678955806973304
Chhattisgarh,2019,9,11.55376519473908
Chhattisgarh,2019,10,3.0976315875595106
Chhattisgarh,2019,11,0.02252080704597701
Chhattisgarh,2019,12,0.15390818927586206
Chhattisgarh,2020,1,1.0449542055016685
